fecha;hora;sexo;emocion;porcentaje;curso;grado;materia;temperatura
2025-08-26,00:03:15,Hombre,enojado,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:15,Hombre,neutral,100.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:15,Hombre,sorpresa,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:15,Hombre,miedo,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:15,Hombre,asco,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,triste,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,enojado,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,neutral,100.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,sorpresa,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,miedo,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:16,Hombre,asco,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,triste,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,enojado,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,neutral,100.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,sorpresa,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,miedo,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:17,Hombre,asco,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,feliz,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,triste,0.01,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,enojado,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,neutral,99.99,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,sorpresa,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,miedo,0.0,media,3-medio,filosofia,14.3
2025-08-26,00:03:18,Hombre,asco,0.0,media,3-medio,filosofia,14.3
